,Druid,Purl,Title,Source Id,Catkey,source_id
1571,zc408bf3580,https://purl.stanford.edu/zc408bf3580,"Grace Bevan, or, The mystery of Embden Vale",sul:36105213328607,9439457,36105213328607
1572,zc479nx3890,https://purl.stanford.edu/zc479nx3890,"A legend of Dundrum Castle, within the county of Dublin : being a chronicle of the House of Bagod de la Rath : done into English",sul:36105213334746,9609045,36105213334746
1573,zc958kg1499,https://purl.stanford.edu/zc958kg1499,The old maid's sweetheart : a prose idyl,sul:36105213330322,9515784,36105213330322
1574,zd144kq5650,https://purl.stanford.edu/zd144kq5650,Golden Face : a tale of the wild West,sul:36105213320075,9263103,36105213320075
1575,zd342yp0216,https://purl.stanford.edu/zd342yp0216,"Guilty, or not guilty? : a tale",sul:36105213326569,9383316,36105213326569
1576,zd394px5648,https://purl.stanford.edu/zd394px5648,Locusta,sul:36105213328177,9427179,36105213328177
1577,zd521ph6195,https://purl.stanford.edu/zd521ph6195,Tales of Black-Country life : by David Hobbs,sul:36105213326627,9385002,36105213326627
1578,zd571jj8447,https://purl.stanford.edu/zd571jj8447,Cloister Laach : a legend of the Rhine : and other sketches,sul:36105213332534,9574246,36105213332534
1579,zd652fk5986,https://purl.stanford.edu/zd652fk5986,Mona Park,sul:36105213327500,9409281,36105213327500
1580,zd922rs2257,https://purl.stanford.edu/zd922rs2257,The Lady of Criswold : a romantic tale,sul:36105213322303,9325332,36105213322303
1581,zf227br6371,https://purl.stanford.edu/zf227br6371,Evil May-day : a story of 1517,sul:36105213334704,9608883,36105213334704
1582,zf606bn1657,https://purl.stanford.edu/zf606bn1657,The Burnish family,sul:36105213331395,9532386,36105213331395
1583,zg913ss1736,https://purl.stanford.edu/zg913ss1736,"Coming home, or, Sithors to grind : a fireside story, from which the Play, produced at the Globe Theatre, London, July 5th, 1873, is adapted",sul:36105213328334,9436659,36105213328334
1584,zh265yy5438,https://purl.stanford.edu/zh265yy5438,The diamond rose : a life of love and duty,36105213321610:,9317191,36105213321610:
1585,zh670gb3550,https://purl.stanford.edu/zh670gb3550,Weaver Stephen : odds and evens in English religion,sul:36105213335594,9617996,36105213335594
1586,zh672rw4021,https://purl.stanford.edu/zh672rw4021,In the name of the Tzar : a novel,sul:36105213321115,9274130,36105213321115
1587,zj095ct2211,https://purl.stanford.edu/zj095ct2211,Out of the depths : the story of a woman's life,sul:36105213336527,9628145,36105213336527
1588,zj393hd9566,https://purl.stanford.edu/zj393hd9566,Never again,sul:36105213326403,9382273,36105213326403
1589,zj758fv2439,https://purl.stanford.edu/zj758fv2439,"A leap for love, or, She would have a horseman : a tale",sul:36105213326957,9388620,36105213326957
1590,zj768rt0187,https://purl.stanford.edu/zj768rt0187,The gun-runner : a tale of Zululand,sul:36105213320125,9263327,36105213320125
1591,zj804jg9355,https://purl.stanford.edu/zj804jg9355,"Great Scot, the Chaser : and other sporting stories",sul:36105213332948,9584883,36105213332948
1592,zj882bd6654,https://purl.stanford.edu/zj882bd6654,The green-eyed monster,sul:36105213325124,9370068,36105213325124
1593,zk393mm6456,https://purl.stanford.edu/zk393mm6456,Dorothy Arden : a story of England and France two hundred years ago,sul:36105213331510,9548625,36105213331510
1594,zk589mb5029,https://purl.stanford.edu/zk589mb5029,Walter Stanhope : the man of varied sympathies,sul:36105213329266,9453139,36105213329266
1595,zm238tj9196,https://purl.stanford.edu/zm238tj9196,Doubles and quits,sul:36105213326387,9382244,36105213326387
1596,zm294pw2969,https://purl.stanford.edu/zm294pw2969,A witch's legacy,sul:36105213334183,9603479,36105213334183
1597,zm472dq2423,https://purl.stanford.edu/zm472dq2423,"Grace Wardwood, or, From the gloom of winter to the glories of summer",sul:36105213332963,9585009,36105213332963
1598,zm667bg7869,https://purl.stanford.edu/zm667bg7869,"Sir Thomas, or, The adventures of a Cornish baronet in North-Western Africa",sul:36105213330520,9516615,36105213330520
1599,zm858qj5731,https://purl.stanford.edu/zm858qj5731,True unto death : a story of Russian life and the Crimean War,sul:36105213325678,9373540,36105213325678
1600,zm900ny5731,https://purl.stanford.edu/zm900ny5731,"Then and now, or, Ye chronicles of Ashlynne : a romance, founded on the story of the Black knight",sul:36105213328565,9439208,36105213328565
1601,zn091gs9429,https://purl.stanford.edu/zn091gs9429,Rome and the abbey,sul:36105213323913,9343915,36105213323913
1602,zn150gd3267,https://purl.stanford.edu/zn150gd3267,"George Jackson, the St. Andrews student",sul:36105213323046,9335063,36105213323046
1603,zn607rg4803,https://purl.stanford.edu/zn607rg4803,Tales of the village. Series the third and last,sul:36105213335529,9617120,36105213335529
1604,zn732sn3193,https://purl.stanford.edu/zn732sn3193,A paladin of finance : contemporary manners,sul:36105213336568,9628207,36105213336568
1605,zn954cg6442,https://purl.stanford.edu/zn954cg6442,Crooked places : a story of struggles and hopes,sul:36105213334308,9605584,36105213334308
1606,zp073bx8341,https://purl.stanford.edu/zp073bx8341,Véra,sul:36105213327021,9388901,36105213327021
1607,zp286ch3217,https://purl.stanford.edu/zp286ch3217,Eastern legendary tales and oriental romances : being a representation of oriental manners and habits exhibiting a true picture of Eastern society,sul:36105213331734,9559040,36105213331734
1608,zp411nz7905,https://purl.stanford.edu/zp411nz7905,Miss Tudor,sul:36105213327740,9423123,36105213327740
1609,zp432ss8674,https://purl.stanford.edu/zp432ss8674,The villa of Claudius : a tale of the Roman-British Church,sul:36105213320919,9272763,36105213320919
1610,zp587nx8297,https://purl.stanford.edu/zp587nx8297,Major Joshua : a novel,sul:36105213323483,9338606,36105213323483
1611,zp785th6241,https://purl.stanford.edu/zp785th6241,Hanley Castle : an episode of the Civil Wars and the Battle of Worcester,sul:36105213335925,9621669,36105213335925
1612,zp787hy9855,https://purl.stanford.edu/zp787hy9855,Day-books,sul:36105213325868,9375078,36105213325868
1613,zp794qm3874,https://purl.stanford.edu/zp794qm3874,"Strive and wait, or, Passages in the life of Philip Marsham",sul:36105213322907,9333915,36105213322907
1614,zq221pb3989,https://purl.stanford.edu/zq221pb3989,The Hunlock title-deeds : a novel,sul:36105213328433,9437977,36105213328433
1615,zq564fm5351,https://purl.stanford.edu/zq564fm5351,A Man with a maid,sul:36105213324820,9351573,36105213324820
1616,zq857rf0611,https://purl.stanford.edu/zq857rf0611,A very rough diamond,sul:36105213328417,9437919,36105213328417
1617,zr387dg4736,https://purl.stanford.edu/zr387dg4736,"Aimée Furniss, scholar : a story",sul:36105213329241,9452979,36105213329241
1618,zr978jz9879,https://purl.stanford.edu/zr978jz9879,The laird and his friends : a story of the younger day,sul:36105213325223,9370417,36105213325223
1619,zs194xb7625,https://purl.stanford.edu/zs194xb7625,The Wrothams of Wrotham Court,sul:36105213326205,2294559,36105213326205
1620,zt019mj7384,https://purl.stanford.edu/zt019mj7384,Sybil Ross's marriage : the romance of an inexperienced girl : in one volume,sul:36105213325579,9373098,36105213325579
1621,zt090gz7149,https://purl.stanford.edu/zt090gz7149,In a Cornish township with old Vogue folk,sul:36105213320018,9262916,36105213320018
1622,zt276ky0825,https://purl.stanford.edu/zt276ky0825,Warped,sul:36105213324143,9346557,36105213324143
1623,zt322yf9130,https://purl.stanford.edu/zt322yf9130,Born to blush unseen : a novel,sul:36105213328888,9441667,36105213328888
